song                             field    source  provisional  n   exact_match  within_1  exact_accuracy  within_1_accuracy
-------------------------------  -------  ------  -----------  --  -----------  --------  --------------  -----------------
ayuni                            energy   seed    True         16  0            0         0.0000          0.0000
ayuni                            tension  seed    True         16  11           16        0.6875          1.0000
Cinderella - Ella Lee            energy   human   False        1   0            0         0.0000          0.0000
Cinderella - Ella Lee            tension  human   False        1   0            1         0.0000          1.0000
Cinderella - Ella Lee            energy   seed    True         20  0            0         0.0000          0.0000
Cinderella - Ella Lee            tension  seed    True         20  18           20        0.9000          1.0000
_test_song                       energy   human   False        1   0            0         0.0000          0.0000
_test_song                       tension  human   False        1   1            1         1.0000          1.0000
_test_song                       energy   seed    True         8   0            0         0.0000          0.0000
_test_song                       tension  seed    True         8   3            8         0.3750          1.0000
What a Feeling - Courtney Storm  energy   seed    True         9   0            0         0.0000          0.0000
What a Feeling - Courtney Storm  tension  seed    True         9   8            8         0.8889          0.8889
CORPUS                           energy   human   False        2   0            0         0.0000          0.0000
CORPUS                           energy   seed    True         53  0            0         0.0000          0.0000
CORPUS                           tension  human   False        2   1            2         0.5000          1.0000
CORPUS                           tension  seed    True         53  40           52        0.7547          0.9811
